#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.M336" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:site" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:site" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:site" name="distribution">
#            <parameter id="gammaShape.s:site" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:site" name="distribution">
#            <parameter id="kappa.s:site" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@M336" id="treeLikelihood.M336" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:site" shape="@gammaShape.s:site" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:site" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:site" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:site" kappa="@kappa.s:site" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:site" id="estimatedFreqs.s:site" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	gammaShape	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-11299.491958493416	-11291.3509305152	-8.141027978215527	-11291.3509305152	1.0162538584118241	-5.27566794424124	1.0	2.0	1.0	0.25	0.25	0.25	0.25
2500	-6751.051241372481	-6825.172659288989	74.12141791650843	-6825.172659288989	0.041952664567691984	76.65789291405622	41.08510787148317	2.0	0.6711149635735001	0.2404719551684556	0.2489261811995713	0.2606018636319731	0.25
5000	-6585.688472322687	-6657.622270228747	71.9337979060599	-6657.622270228747	0.05578621179773427	74.01531193539614	54.318743338206296	2.0	0.21615399536196858	0.2237902964851346	0.25588831056340083	0.2606018636319731	0.2597195293194915
7500	-6580.048254744304	-6653.433373698132	73.38511895382688	-6653.433373698132	0.050376150787747084	75.46663298316312	52.88017503963981	2.0	0.21615399536196858	0.22587415913302136	0.2469241469279553	0.2716115006065823	0.25559019333244104
10000	-6560.994159275362	-6633.80804147013	72.81388219476742	-6633.80804147013	0.05065372405755535	74.79030277645217	58.918439688313	2.0	0.11106054771046855	0.21851990675510735	0.2557343203355208	0.2716115006065823	0.2541342723027895
12500	-6557.706456790805	-6628.813009055494	71.10655226468916	-6628.813009055494	0.055946436718229374	72.96111416381623	34.00857407885103	1.6904319674589816	0.115290882095799	0.21851990675510735	0.25207235812626194	0.2812983833404072	0.24810935177822346
15000	-6556.858824577688	-6630.678111822101	73.81928724441255	-6630.678111822101	0.05029605384473449	75.67384914353963	64.12541814105344	1.6904319674589816	0.115290882095799	0.21851990675510735	0.25207235812626194	0.2733957807099676	0.25601195440866303
17500	-6553.297115395738	-6626.247171318912	72.95005592317395	-6626.247171318912	0.050618254019289	74.80461782230103	46.40483272187223	1.6904319674589816	0.115290882095799	0.21851990675510735	0.25207235812626194	0.2733957807099676	0.25601195440866303
20000	-6545.081416941521	-6619.067503154026	73.98608621250528	-6619.067503154026	0.04659737743357042	75.94541734226688	50.06225549502654	1.9403842499650452	0.11799635752233648	0.20674138365531464	0.2560213411679575	0.28429667852120627	0.25294059665552154
22500	-6557.368534857434	-6629.0758458081455	71.70731095071223	-6629.0758458081455	0.05213596847120562	73.66664208047382	38.25672138277387	1.9403842499650452	0.11799635752233648	0.20617049103796717	0.2516563393789417	0.2768181254753422	0.2653550441077489
25000	-6555.9747048957715	-6628.512490044346	72.53778514857451	-6628.512490044346	0.050488172515194184	74.45486541996624	40.40354146918571	1.9403842499650452	0.07574549915246136	0.211803478641967	0.2516563393789417	0.2806928581329022	0.2558473238461891
27500	-6560.723132773345	-6634.986103279794	74.26297050644891	-6634.986103279794	0.04468327477388497	76.20040117484211	56.92977038827987	1.9403842499650452	0.0960958961539349	0.20459172348672613	0.24839610280632074	0.29116484986076396	0.2558473238461891
30000	-6554.657522050347	-6627.646065054179	72.98854300383229	-6627.646065054179	0.047861971426274554	74.86022194306989	38.98893414846274	1.7313484992484327	0.11557925197393815	0.20459172348672613	0.24695947548138722	0.29116484986076396	0.2572839511711226
32500	-6557.569942102899	-6629.381923160106	71.81198105720695	-6629.381923160106	0.05517643553902554	73.75647290628814	53.268924546921376	1.9096933555342004	0.11557925197393815	0.20745285327067392	0.24695947548138722	0.28850395224144576	0.25708371900649307
